Activityid,ProjectName,ActivityExternalReference,ProjectExternalReference,ActivityName,OwnerCaregiverId,CommunityName,StrategicInitiativeName,ItemType,assignment_group_name,description
2,GRC - Operational Enhancements,PRJTASK0056352,PRJ0022923,Internal Phishing Program - Collect metrics on phishing susceptibility and report on them,24,Intelligence,"Governance, Risk Management, Training, & Compliance",Activity,Cybersecurity - Red Team,
3,GRC - Operational Enhancements,PRJTASK0056353,PRJ0022923,"Internal Phishing Program - Utilize phishing metrics to identify demographics e.g., roles, departments, locations, etc that require additional training",24,Intelligence,"Governance, Risk Management, Training, & Compliance",Activity,NULL,
4,GRC - Operational Enhancements,PRJTASK0056354,PRJ0022923,Internal Phishing Program - Develop and deliver additional training as needed,141,Assurance,"Governance, Risk Management, Training, & Compliance",Activity,NULL,
14,GRC - Risk Management and Compliance,PRJTASK0128125,PRJ0033115,"Standardize risk management practices (e.g., policy, standards, and procedures for assessing, prioritizing, and communicating risk) throughout the organization, with a focus on maintaining the clinic's core mission",47,Assurance,"Governance, Risk Management, Training, & Compliance",Activity,NULL,
15,GRC - Risk Management and Compliance,PRJTASK0128116,PRJ0033115,Define risk tolerance and risk assessment/reporting cadence with input from leadership,47,Assurance,"Governance, Risk Management, Training, & Compliance",Activity,NULL,
16,GRC - Risk Management and Compliance,PRJTASK0128124,PRJ0033115,"Standardize controls on an industry standard controls framework(s) e.g., NIST 800-53 and map other necessary frameworks to it as needed for consitency and reportability",47,Assurance,"Governance, Risk Management, Training, & Compliance",Activity,NULL,
17,GRC - Risk Management and Compliance,PRJTASK0128039,PRJ0033115,"Define methodology and procedures for risk remediation analysis i.e., assessing the costs and benefits of implementing proposed risk remediation plans",47,Assurance,"Governance, Risk Management, Training, & Compliance",Activity,NULL,
19,GRC - Risk Management and Compliance,PRJTASK0128123,PRJ0033115,"Implement the risk remediation analysis/tracking process, and prioritize remediation plans",47,Assurance,"Governance, Risk Management, Training, & Compliance",Activity,NULL,
20,GRC - Risk Management and Compliance,PRJTASK0128122,PRJ0033115,"Define, track and report on relevant KPIs for the cybersecurity program",14,Assurance,"Governance, Risk Management, Training, & Compliance",Activity,NULL,
21,CAP - CTOM Training,PRJTASK0055953,PRJ0022918,"Review and refresh expectations of CCF staff as they relate to cybersecurity, including incident reporting",59,Advisory,Caregiver Protection,Activity,NULL,
22,CAP - CTOM Training,PRJTASK0055954,PRJ0022918,"Review cybersecurity organizational alignment to identify gaps, ensure ability to meet organizational mission, and reduce siloing of teams",6,Advisory,Caregiver Protection,Activity,NULL,
23,CAP - CTOM Training,PRJTASK0055955,PRJ0022918,Develop metrics / KPI to report on effectiveness of cyber organizational structure,6,Advisory,Caregiver Protection,Activity,NULL,
24,CAP - Cybersecurity Training and Awareness (P1),PRJTASK0093313,PRJ0024141,"Identify and catalogue cyber threats and associated risks caregivers would face on the job, including those from past incidents",46,Assurance,Caregiver Protection,Activity,NULL,
25,CAP - Cybersecurity Training and Awareness (P1),PRJTASK0066476,PRJ0024141,"Create and deploy training materials based on roles e.g., (including all users, priv users, third parties, executives, IT, info sec,  and physical security staff) and the associated threats/risks",46,Assurance,Caregiver Protection,Activity,NULL,
26,CAP - Cybersecurity Training and Awareness (P1),PRJTASK0066477,PRJ0024141,Mandate that caregivers complete role-based security awareness training.,46,Assurance,Caregiver Protection,Activity,NULL,
27,CAP - Cybersecurity Training and Awareness (P1),PRJTASK0066478,PRJ0024141,"Explore and enable any LMS features to alert users and their managers of upcoming and overdue training requirements.  If none exist, develop and automate the notification outside of LMS for security awareness training modules.",46,Assurance,Caregiver Protection,Activity,NULL,
28,CAP - Cybersecurity Training and Awareness (P1),PRJTASK0066479,PRJ0024141,"Track and report on caregiver training compliance by role, department, institute, etc. to identify and remediate issues in the security training program",46,Assurance,Caregiver Protection,Activity,NULL,
29,CAP - Cybersecurity Training and Awareness (P1),PRJTASK0066480,PRJ0024141,Implement content refresh cadence to ensure up to date and relevant training is provided based on evolving threat landscape,46,Assurance,Caregiver Protection,Activity,NULL,
30,CAP - Cybersecurity Training and Awareness (P1),PRJTASK0066481,PRJ0024141,"Identify and catalogue cyber threats and associated risks caregivers would face on the job, as well as emerging threats and industry trends e.g., news articles, CISA / ISAC / Infragard Bulletins, annual tax related scams, etc.",46,Assurance,Caregiver Protection,Activity,NULL,
31,CAP - Cybersecurity Training and Awareness (P1),PRJTASK0066482,PRJ0024141,"Identify key mediums for communicate with broad groups of users of all types e.g., posters, emails, intranet, etc",46,Assurance,Caregiver Protection,Activity,NULL,
32,CAP - Cybersecurity Training and Awareness (P1),PRJTASK0066483,PRJ0024141,Develop awareness campaigns to target broad and narrow audiences depending on specific risks and threats that have been catalogued,46,Assurance,Caregiver Protection,Activity,NULL,
33,CAP - Cybersecurity Training and Awareness (P1),PRJTASK0066484,PRJ0024141,Develop a process to quickly create and launch an awareness campaign if an emerging threats warrants it,46,Assurance,Caregiver Protection,Activity,NULL,
34,CAP - Cybersecurity Training and Awareness (P1),PRJTASK0066485,PRJ0024141,"Develop KPI, capture metrics, and report on them",46,Assurance,Caregiver Protection,Activity,NULL,
46,IDP - Access for Critical Apps,PRJTASK0076891,PRJ0025158,Extend enterprise privileged access management solution to application administrators based on risk,96,Identity,Identity Protection,Activity,NULL,
47,IDP - Access for Critical Apps,PRJTASK0076895,PRJ0025158,Define privileged user restrictions,96,Identity,Identity Protection,Activity,NULL,
48,IDP - Access for Critical Apps,PRJTASK0082300,PRJ0025158,Extend access recertification process to application administrators,97,Identity,Identity Protection,Activity,NULL,
50,IDP - Access for Critical Apps,PRJTASK0076893,PRJ0025158,Provide role specific training to application administrators on the use of PAM and expectations,96,Identity,Identity Protection,Activity,NULL,
51,IDP - Access for Critical Apps,PRJTASK0076886,PRJ0025158,Standardize application onboarding process for SSO,94,Identity,Identity Protection,Activity,NULL,
64,IDP - Access for Critical Apps,PRJTASK0095681,PRJ0025158,Develop an M&A process that matches roles from the newly acquired business to current environment roles,9,Identity,Identity Protection,Activity,NULL,
69,IDP - Access for Critical Apps,PRJTASK0082314,PRJ0025158,Develop entitlement catalog and populate metadata for entitlements,90,Identity,Identity Protection,Activity,NULL,
71,IDP - Access for Critical Apps,PRJTASK0082315,PRJ0025158,Develop application onboarding framework for connected and disconnected applications,97,Identity,Identity Protection,Activity,NULL,
74,IDP - Access for Critical Apps,PRJTASK0082316,PRJ0025158,Develop / refine access audit reports and establish frequency of execution,83,Identity,Identity Protection,Activity,NULL,
82,IDP - Access for Critical Apps,PRJTASK0082317,PRJ0025158,Enhance integration of Silkroad and Sailpoint Identity IQ (IIQ) to enable automation of identity creation of employees and non-employees within IIQ,90,Identity,Identity Protection,Activity,NULL,
83,IDP - Access for Critical Apps,PRJTASK0082318,PRJ0025158,Identify key HR attributes for automated provisioning/ de-provisioning of entitlements/ roles for Attribute Based Access Control (ABAC) and Role Based Access Control (RBAC),90,Identity,Identity Protection,Activity,NULL,
84,Privileged Access Management,PRJTASK0059631,PRJ0017223,Identify highest risk applications,97,Identity,Identity Protection,Activity,NULL,
85,IDP - Access for Critical Apps,PRJTASK0082312,PRJ0025158,"Create application specific priveleged access training, focusing on relevant risks, procedures, policies, etc.",304,Identity,Identity Protection,Activity,NULL,
89,Privileged Access Management,PRJTASK0059636,PRJ0017223,"Extend enterprise priveleged access management solution to all endpoints, servers, and infrastructure",96,Identity,Identity Protection,Activity,NULL,
90,Privileged Access Management,PRJTASK0059637,PRJ0017223,Define privileged user restrictions and security control-sets,96,Identity,Identity Protection,Activity,NULL,
93,Privileged Access Management,PRJTASK0059641,PRJ0017223,Provide role specific training to all administrators on the use of PAM and expectations,96,Identity,Identity Protection,Activity,NULL,
94,IDP - Access for Critical Apps,PRJTASK0076899,PRJ0025158,"Develop (or enhance) M&A integration playbook for deployment of PAM, utilizing lessons learned",304,Identity,Identity Protection,Activity,NULL,
99,Privileged Access Management,PRJTASK0059647,PRJ0017223,Revise non-human account creation process to include the onboarding of the account into Thycotic as part of the creation process,90,Identity,Identity Protection,Activity,NULL,
102,Infrastructure Protections,PRJTASK0052083,PRJ0017221,Select and implement an IoT/OT/Med Device discovery tool,108,Technology Protection,Infrastructure Protection,Activity,NULL,
103,Infrastructure Protections,PRJTASK0052085,PRJ0017221,"Conduct asset discovery exercise to build an inventory of devices, and compare results with data from existing asset inventory, procurement, etc",133,Technology Protection,Infrastructure Protection,Activity,NULL,
106,Infrastructure Protections,PRJTASK0052091,PRJ0017221,Remove orphaned devices from the network,133,Technology Protection,Infrastructure Protection,Activity,NULL,
107,Infrastructure Protections,PRJTASK0052093,PRJ0017221,"Implement technical and procedural controls to prevent the addition of unapproved hardware to the network e.g., track assets starting at procurement",133,Technology Protection,Infrastructure Protection,Activity,NULL,
108,IP - Network and Device Protection (P1),PRJTASK0067029,PRJ0024144,Centralize asset management and CMDB functions within ServiceNow,7,Technology Protection,Infrastructure Protection,Activity,NULL,
109,IP - Network and Device Protection (P1),PRJTASK0067030,PRJ0024144,Develop a software asset inventory within ServiceNow,7,Technology Protection,Infrastructure Protection,Activity,NULL,
110,IP - Network and Device Protection (P1),PRJTASK0067031,PRJ0024144,"Inventory external information systems, and document them in ServiceNow",7,Technology Protection,Infrastructure Protection,Activity,NULL,
111,IP - Network and Device Protection (P1),PRJTASK0067032,PRJ0024144,"Ensure critical business processes are mapped to applications, and their associated infrastructure",7,Technology Protection,Infrastructure Protection,Activity,NULL,
112,IP - Network and Device Protection (P1),PRJTASK0067033,PRJ0024144,Update procurement processes to ensure that future assets are captured in ServiceNow at procurement / contracting,7,Technology Protection,Infrastructure Protection,Activity,NULL,
